election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
19,ON,95,"GREY NORTH",,,7538,,2434,5771,,Lib,PC,Other
19,ON,96,"GREY--BRUCE",,,6389,,4761,4944,,Lib,PC,Other
19,ON,97,"HALDIMAND",,5515,4712,,,,,Con,Lib,CCF
19,ON,98,"HALTON",,,7788,,,6184,,Lib,PC,CCF
19,ON,99,"HAMILTON EAST",3190,,14053,,695,11716,,Lib,PC,CCF
19,ON,100,"HAMILTON WEST",,,13965,,,11032,,Lib,PC,CCF
19,ON,101,"HASTINGS SOUTH",,,6330,,3348,9001,,PC,Lib,Other
19,ON,102,"HASTINGS--PETERBOROUGH",,,5207,,,5471,,PC,Lib,Con
19,ON,103,"HIGH PARK",1777,,12061,,,12266,,PC,Lib,CCF
19,ON,104,"HURON NORTH",,,5897,,,5937,,PC,Lib,Con
19,ON,105,"HURON--PERTH",,,5622,,,3472,,Lib,PC,CCF
19,ON,106,"KENORA--RAINY RIVER",3173,,10595,,,5286,,Lib,PC,CCF
19,ON,107,"KENT",,,10945,,,11629,,PC,Lib,Con
19,ON,108,"KINGSTON CITY",,,9609,,,7475,,Lib,PC,CCF
19,ON,109,"LAMBTON WEST",,,8671,,,7864,,Lib,PC,CCF
19,ON,110,"LAMBTON--KENT",,,,,8834,6089,,Other,PC,Con
19,ON,111,"LANARK",,,8821,,,7180,,Lib,PC,CCF
19,ON,112,"LEEDS",,,10322,,,8227,,Lib,PC,CCF
19,ON,113,"LINCOLN",2443,,12921,,,13331,,PC,Lib,CCF
19,ON,114,"LONDON",3762,,15824,,,12534,,Lib,PC,CCF
19,ON,115,"MIDDLESEX EAST",1577,,8444,,,6256,,Lib,PC,CCF
19,ON,116,"MIDDLESEX WEST",,,6024,,,3886,,Lib,PC,CCF
19,ON,117,"MUSKOKA--ONTARIO",,,8098,,,7016,,Lib,PC,CCF
19,ON,118,"NIPISSING",,,26916,,,11229,,Lib,PC,CCF
19,ON,119,"NORFOLK",,,9230,,,5894,,Lib,PC,CCF
19,ON,120,"NORTHUMBERLAND",,,8194,,,7241,,Lib,PC,CCF
19,ON,121,"ONTARIO",,,12176,,,7914,,Lib,PC,CCF
19,ON,122,"OTTAWA EAST",,,12373,,10526,6149,,Lib,Other,PC
19,ON,123,"OTTAWA WEST",,,27460,,,19780,,Lib,PC,CCF
19,ON,124,"OXFORD",,,10975,,,8325,,Lib,PC,CCF
