election_id,prov_code,ed_id,ed_name,Bloc,ConParty,Grn,Lib,NDP,Other,1st,2nd,3rd
38,QC,269,"PORTNEUF",18471,9251,1925,11863,1540,,Bloc,Lib,ConParty
38,QC,270,"QUÉBEC",24373,5330,2046,12982,2670,735,Bloc,Lib,ConParty
38,QC,271,"REPENTIGNY",35907,2447,1482,9353,1526,539,Bloc,Lib,ConParty
38,QC,272,"RICHELIEU",31497,3726,839,11045,1017,580,Bloc,Lib,ConParty
38,QC,273,"RICHMOND--ARTHABASKA",26211,4925,1699,12809,1540,,Bloc,Lib,ConParty
38,QC,274,"RIMOUSKI--TÉMISCOUATA",22215,3445,1008,9161,2717,,Bloc,Lib,ConParty
38,QC,275,"RIVIÈRE-DES-MILLE-ÎLES",27993,3064,1961,11025,1559,,Bloc,Lib,ConParty
38,QC,276,"RIVIÈRE-DU-LOUP--MONTMAGNY",25327,4040,962,13124,876,,Bloc,Lib,ConParty
38,QC,277,"RIVIÈRE-DU-NORD",29204,2435,1129,9509,1290,459,Bloc,Lib,ConParty
38,QC,278,"ROBERVAL",20655,3011,1260,8064,1777,,Bloc,Lib,ConParty
38,QC,279,"ROSEMONT--LA PETITE-PATRIE",31224,1561,2145,11572,3876,145,Bloc,Lib,NDP
38,QC,280,"SAINT-BRUNO--SAINT-HUBERT",28050,3189,1349,15457,2253,596,Bloc,Lib,ConParty
38,QC,281,"SAINT-HYACINTHE--BAGOT",29789,5240,948,10558,1204,,Bloc,Lib,ConParty
38,QC,282,"SAINT-JEAN",29485,3856,1298,12729,1687,,Bloc,Lib,ConParty
38,QC,283,"SAINT-LAMBERT",22024,2739,1404,16654,2130,145,Bloc,Lib,ConParty
38,QC,284,"SAINT-LAURENT--CARTIERVILLE",7261,2606,875,28107,2630,585,Lib,Bloc,NDP
38,QC,285,"SAINT-LÉONARD--SAINT-MICHEL",8852,2138,944,25884,2422,267,Lib,Bloc,NDP
38,QC,286,"SAINT-MAURICE--CHAMPLAIN",25918,4129,855,14320,1104,547,Bloc,Lib,ConParty
