election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
20,NB,56,"ROYAL",1134,6769,,8915,,PC,Lib,CCF
20,NB,57,"ST. JOHN--ALBERT",4190,14248,,16205,,PC,Lib,CCF
20,NB,58,"VICTORIA--CARLETON",689,7132,,9365,,PC,Lib,CCF
20,NB,59,"WESTMORLAND",3707,17251,,11612,,Lib,PC,CCF
20,NB,60,"YORK--SUNBURY",1674,10828,,9953,,Lib,PC,CCF
20,NS,61,"ANTIGONISH--GUYSBOROUGH",791,6379,,3483,,Lib,PC,CCF
20,NS,62,"CAPE BRETON NORTH AND VICTORIA",2886,5895,,5441,,Lib,PC,CCF
20,NS,63,"CAPE BRETON SOUTH",16575,10529,917,7343,,CCF,Lib,PC
20,NS,64,"COLCHESTER--HANTS",2165,11133,,11141,,PC,Lib,CCF
20,NS,65,"CUMBERLAND",3807,6522,,9121,,PC,Lib,CCF
20,NS,66,"DIGBY--ANNAPOLIS--KINGS",1252,14445,362,9885,,Lib,PC,CCF
20,NS,67,"HALIFAX-1",8937,23616,1048,,,Lib,CCF,Other
20,NS,68,"HALIFAX-2",8783,26407,,36219,,PC,Lib,CCF
20,NS,69,"INVERNESS--RICHMOND",1720,8177,,5037,,Lib,PC,CCF
20,NS,70,"PICTOU",2610,9774,323,9387,,Lib,PC,CCF
20,NS,71,"QUEENS--LUNENBURG",1295,9693,,8562,,Lib,PC,CCF
20,NS,72,"SHELBURNE--YARMOUTH--CLARE",1071,9341,,8595,,Lib,PC,CCF
20,ON,73,"ALGOMA EAST",1468,4855,,3610,,Lib,PC,CCF
20,ON,74,"ALGOMA WEST",4281,7476,,5619,,Lib,PC,CCF
20,ON,75,"BRANT",1235,4800,,5005,,PC,Lib,CCF
20,ON,76,"BRANTFORD CITY",2437,8670,,6988,,Lib,PC,CCF
20,ON,77,"BROADVIEW",5414,6362,694,13011,,PC,Lib,CCF
20,ON,78,"BRUCE",1137,6430,,6933,,PC,Lib,CCF
20,ON,79,"CARLETON",1309,5309,,10916,,PC,Lib,CCF
20,ON,80,"COCHRANE",7355,13285,,4711,,Lib,CCF,PC
20,ON,81,"DANFORTH",4467,6415,,11401,,PC,Lib,CCF
20,ON,82,"DAVENPORT",4931,7682,882,13110,346,PC,Lib,CCF
20,ON,83,"DUFFERIN--SIMCOE",,,4885,8539,,PC,Other,CCF
20,ON,84,"DURHAM",926,6003,,6479,,PC,Lib,CCF
20,ON,85,"EGLINTON",4435,13586,382,21476,367,PC,Lib,CCF
20,ON,86,"ELGIN",2397,7484,,11652,,PC,Lib,CCF
20,ON,87,"ESSEX EAST",4349,16165,,8244,,Lib,PC,CCF
20,ON,88,"ESSEX SOUTH",574,7875,,7540,,Lib,PC,CCF
20,ON,89,"ESSEX WEST",5689,14270,,12069,,Lib,PC,CCF
20,ON,90,"FORT WILLIAM",5858,7209,772,4945,,Lib,CCF,PC
20,ON,91,"FRONTENAC--ADDINGTON",592,5432,,7707,,PC,Lib,CCF
20,ON,92,"GLENGARRY",411,4934,,2881,,Lib,PC,CCF
